Vector_Index,Time_Seconds,Total_Detected,Delta_Detected,Coverage_Percent,Delta_Coverage
1,0.0006,2541,2541,16.8211,16.8211
2,59.0479,4209,1668,27.8631,11.0420
3,90.6501,5299,1090,35.0788,7.2157
4,118.0521,6567,1268,43.4728,8.3940
5,142.7454,7369,802,48.7819,5.3091
6,164.3330,8119,750,53.7469,4.9649
7,183.9742,8480,361,56.1366,2.3898
8,201.7687,8661,181,57.3348,1.1982
9,218.7154,9151,490,60.5786,3.2437
10,235.1162,9254,103,61.2604,0.6818
11,250.2125,9610,356,63.6171,2.3567
12,265.8242,9737,127,64.4578,0.8407
13,280.1143,9843,106,65.1595,0.7017
14,294.0814,9970,127,66.0003,0.8407
15,307.9800,10195,225,67.4897,1.4895
16,322.2958,10357,162,68.5622,1.0724
17,335.6898,10736,379,71.0711,2.5089
18,348.3868,10975,239,72.6533,1.5822
19,359.4961,11073,98,73.3020,0.6487
20,370.0619,11119,46,73.6065,0.3045
21,380.8560,11166,47,73.9176,0.3111
22,394.9164,11202,36,74.1560,0.2383
23,412.3742,11344,142,75.0960,0.9400
24,430.5332,11401,57,75.4733,0.3773
25,447.5341,11598,197,76.7774,1.3041
26,463.9024,11631,33,76.9959,0.2185
27,479.4696,11726,95,77.6248,0.6289
28,494.8743,11768,42,77.9028,0.2780
29,509.5983,11777,9,77.9624,0.0596
30,524.7430,11805,28,78.1478,0.1854
31,539.5219,11846,41,78.4192,0.2714
32,555.3033,11880,34,78.6442,0.2251
33,570.1453,11912,32,78.8561,0.2118
34,584.3280,11921,9,78.9157,0.0596
35,598.4995,11976,55,79.2798,0.3641
36,612.5856,12047,71,79.7498,0.4700
37,626.5576,12056,9,79.8093,0.0596
38,640.5905,12061,5,79.8424,0.0331
39,654.4756,12090,29,80.0344,0.1920
40,668.8156,12122,32,80.2463,0.2118
41,682.9112,12132,10,80.3125,0.0662
42,696.7162,12151,19,80.4382,0.1258
43,709.7968,12303,152,81.4445,1.0062
44,722.7537,12409,106,82.1462,0.7017
45,735.2602,12412,3,82.1660,0.0199
46,746.8472,12437,25,82.3315,0.1655
47,758.9123,12476,39,82.5897,0.2582
48,770.8921,12476,0,82.5897,0.0000
49,783.1621,12485,9,82.6493,0.0596
50,795.6498,12540,55,83.0134,0.3641
51,807.9494,12582,42,83.2914,0.2780
52,819.9065,12601,19,83.4172,0.1258
53,831.1236,12607,6,83.4569,0.0397
54,842.5554,12623,16,83.5628,0.1059
55,853.7383,12631,8,83.6158,0.0530
56,864.7744,12639,8,83.6687,0.0530
57,875.7077,12645,6,83.7085,0.0397
58,886.9456,12653,8,83.7614,0.0530
59,898.1850,12711,58,84.1454,0.3840
60,910.0849,12732,21,84.2844,0.1390
61,921.4256,12759,27,84.4631,0.1787
62,932.7378,12781,22,84.6088,0.1456
63,943.3506,12816,35,84.8405,0.2317
64,953.8995,12874,58,85.2244,0.3840
65,964.0848,12891,17,85.3370,0.1125
66,973.9297,12899,8,85.3899,0.0530
67,983.5828,12969,70,85.8533,0.4634
68,993.4003,12984,15,85.9526,0.0993
69,1002.8808,13028,44,86.2439,0.2913
70,1012.5983,13028,0,86.2439,0.0000
71,1022.0038,13032,4,86.2704,0.0265
72,1031.6844,13034,2,86.2836,0.0132
73,1041.6385,13062,28,86.4690,0.1854
74,1051.6842,13063,1,86.4756,0.0066
75,1060.9892,13066,3,86.4954,0.0199
76,1070.4778,13088,22,86.6411,0.1456
77,1079.7315,13106,18,86.7602,0.1192
