Vector_Index,Time_Seconds,Total_Detected,Delta_Detected,Coverage_Percent,Delta_Coverage
1,0.0002,83,83,9.6065,9.6065
2,0.3329,134,51,15.5093,5.9028
3,0.6388,178,44,20.6019,5.0926
4,0.9425,228,50,26.3889,5.7870
5,1.2206,299,71,34.6065,8.2176
6,1.4764,313,14,36.2269,1.6204
7,1.7157,380,67,43.9815,7.7546
8,1.9451,398,18,46.0648,2.0833
9,2.1441,416,18,48.1481,2.0833
10,2.3357,426,10,49.3056,1.1574
11,2.5205,476,50,55.0926,5.7870
12,2.6999,492,16,56.9444,1.8519
13,2.8598,525,33,60.7639,3.8194
14,3.0147,532,7,61.5741,0.8102
15,3.1575,554,22,64.1204,2.5463
16,3.2980,568,14,65.7407,1.6204
17,3.4292,578,10,66.8981,1.1574
18,3.5572,579,1,67.0139,0.1157
19,3.6799,588,9,68.0556,1.0417
20,3.8015,588,0,68.0556,0.0000
21,3.9198,596,8,68.9815,0.9259
22,4.0390,606,10,70.1389,1.1574
23,4.1516,626,20,72.4537,2.3148
24,4.2592,627,1,72.5694,0.1157
25,4.3615,635,8,73.4954,0.9259
26,4.4651,636,1,73.6111,0.1157
27,4.5628,640,4,74.0741,0.4630
28,4.6629,663,23,76.7361,2.6620
29,4.7590,663,0,76.7361,0.0000
30,4.8481,667,4,77.1991,0.4630
31,4.9364,683,16,79.0509,1.8519
32,5.0206,685,2,79.2824,0.2315
33,5.1009,703,18,81.3657,2.0833
34,5.1810,703,0,81.3657,0.0000
35,5.2573,703,0,81.3657,0.0000
36,5.3348,712,9,82.4074,1.0417
37,5.4097,712,0,82.4074,0.0000
38,5.4885,712,0,82.4074,0.0000
39,5.5608,712,0,82.4074,0.0000
40,5.6338,712,0,82.4074,0.0000
41,5.7072,718,6,83.1019,0.6944
42,5.7814,718,0,83.1019,0.0000
43,5.8530,718,0,83.1019,0.0000
44,5.9230,718,0,83.1019,0.0000
45,5.9910,718,0,83.1019,0.0000
46,6.0625,722,4,83.5648,0.4630
47,6.1342,722,0,83.5648,0.0000
48,6.2044,722,0,83.5648,0.0000
49,6.2738,728,6,84.2593,0.6944
50,6.3416,733,5,84.8380,0.5787
51,6.4082,734,1,84.9537,0.1157
52,6.4738,735,1,85.0694,0.1157
53,6.5418,735,0,85.0694,0.0000
54,6.6066,735,0,85.0694,0.0000
55,6.6691,735,0,85.0694,0.0000
56,6.7325,735,0,85.0694,0.0000
57,6.7947,736,1,85.1852,0.1157
58,6.8628,740,4,85.6481,0.4630
59,6.9265,741,1,85.7639,0.1157
60,6.9851,742,1,85.8796,0.1157
61,7.0445,751,9,86.9213,1.0417
62,7.1029,751,0,86.9213,0.0000
63,7.1607,751,0,86.9213,0.0000
64,7.2191,753,2,87.1528,0.2315
65,7.2773,754,1,87.2685,0.1157
66,7.3336,754,0,87.2685,0.0000
67,7.3881,760,6,87.9630,0.6944
68,7.4431,762,2,88.1944,0.2315
69,7.4958,762,0,88.1944,0.0000
70,7.5451,764,2,88.4259,0.2315
71,7.5934,764,0,88.4259,0.0000
72,7.6417,765,1,88.5417,0.1157
73,7.6893,765,0,88.5417,0.0000
74,7.7362,765,0,88.5417,0.0000
75,7.7829,768,3,88.8889,0.3472
76,7.8311,768,0,88.8889,0.0000
77,7.8757,768,0,88.8889,0.0000
78,7.9202,770,2,89.1204,0.2315
79,7.9650,771,1,89.2361,0.1157
80,8.0095,771,0,89.2361,0.0000
81,8.0539,773,2,89.4676,0.2315
82,8.0979,773,0,89.4676,0.0000
83,8.1415,773,0,89.4676,0.0000
84,8.1846,773,0,89.4676,0.0000
85,8.2287,774,1,89.5833,0.1157
86,8.2709,774,0,89.5833,0.0000
87,8.3131,774,0,89.5833,0.0000
88,8.3555,786,12,90.9722,1.3889
