Vector_Index,Time_Seconds,Total_Detected,Delta_Detected,Coverage_Percent,Delta_Coverage
1,0.0003,431,431,24.4886,24.4886
2,1.0795,618,187,35.1136,10.6250
3,1.9178,812,194,46.1364,11.0227
4,2.6287,939,127,53.3523,7.2159
5,3.2492,985,46,55.9659,2.6136
6,3.8104,1034,49,58.7500,2.7841
7,4.3402,1056,22,60.0000,1.2500
8,4.8282,1063,7,60.3977,0.3977
9,5.3015,1111,48,63.1250,2.7273
10,5.7636,1141,30,64.8295,1.7045
11,6.2003,1171,30,66.5341,1.7045
12,6.6219,1184,13,67.2727,0.7386
13,7.0246,1203,19,68.3523,1.0795
14,7.4178,1217,14,69.1477,0.7955
15,7.8024,1220,3,69.3182,0.1705
16,8.1851,1250,30,71.0227,1.7045
17,8.5479,1288,38,73.1818,2.1591
18,8.9024,1309,21,74.3750,1.1932
19,9.2317,1312,3,74.5455,0.1705
20,9.5440,1315,3,74.7159,0.1705
21,9.8546,1331,16,75.6250,0.9091
22,10.1806,1336,5,75.9091,0.2841
23,10.5039,1345,9,76.4205,0.5114
24,10.8081,1353,8,76.8750,0.4545
25,11.0962,1383,30,78.5795,1.7045
26,11.3760,1384,1,78.6364,0.0568
27,11.6314,1389,5,78.9205,0.2841
28,11.8941,1404,15,79.7727,0.8523
29,12.1530,1404,0,79.7727,0.0000
30,12.3912,1416,12,80.4545,0.6818
31,12.6347,1419,3,80.6250,0.1705
32,12.8663,1439,20,81.7614,1.1364
33,13.0952,1442,3,81.9318,0.1705
34,13.3166,1467,25,83.3523,1.4205
35,13.5300,1475,8,83.8068,0.4545
36,13.7360,1475,0,83.8068,0.0000
37,13.9324,1479,4,84.0341,0.2273
38,14.1284,1497,18,85.0568,1.0227
39,14.3250,1500,3,85.2273,0.1705
40,14.5093,1500,0,85.2273,0.0000
41,14.6888,1517,17,86.1932,0.9659
42,14.8694,1526,9,86.7045,0.5114
43,15.0415,1545,19,87.7841,1.0795
44,15.2017,1548,3,87.9545,0.1705
45,15.3490,1549,1,88.0114,0.0568
46,15.4933,1549,0,88.0114,0.0000
47,15.6327,1549,0,88.0114,0.0000
48,15.7758,1549,0,88.0114,0.0000
49,15.9201,1567,18,89.0341,1.0227
50,16.0632,1574,7,89.4318,0.3977
51,16.1942,1584,10,90.0000,0.5682
