Vector_Index,Time_Seconds,Total_Detected,Delta_Detected,Coverage_Percent,Delta_Coverage
1,0.0002,431,431,24.4886,24.4886
2,1.1694,618,187,35.1136,10.6250
3,2.0701,812,194,46.1364,11.0227
4,2.8698,939,127,53.3523,7.2159
5,3.9120,985,46,55.9659,2.6136
6,4.8267,1034,49,58.7500,2.7841
7,5.7162,1056,22,60.0000,1.2500
8,6.4620,1063,7,60.3977,0.3977
9,7.1894,1111,48,63.1250,2.7273
10,7.9327,1141,30,64.8295,1.7045
11,8.6148,1171,30,66.5341,1.7045
12,9.2682,1184,13,67.2727,0.7386
13,9.8999,1203,19,68.3523,1.0795
14,10.5094,1217,14,69.1477,0.7955
15,11.1722,1220,3,69.3182,0.1705
16,11.8635,1250,30,71.0227,1.7045
17,12.5295,1288,38,73.1818,2.1591
18,13.1170,1309,21,74.3750,1.1932
19,13.6278,1312,3,74.5455,0.1705
20,14.0994,1315,3,74.7159,0.1705
21,14.5909,1331,16,75.6250,0.9091
22,15.0896,1336,5,75.9091,0.2841
23,15.5322,1345,9,76.4205,0.5114
24,15.9841,1353,8,76.8750,0.4545
25,16.4124,1383,30,78.5795,1.7045
26,16.8298,1384,1,78.6364,0.0568
27,17.2293,1389,5,78.9205,0.2841
28,17.6093,1404,15,79.7727,0.8523
29,17.9986,1404,0,79.7727,0.0000
30,18.3885,1416,12,80.4545,0.6818
31,18.7467,1419,3,80.6250,0.1705
32,19.1072,1439,20,81.7614,1.1364
33,19.4532,1442,3,81.9318,0.1705
34,19.7888,1467,25,83.3523,1.4205
35,20.1309,1475,8,83.8068,0.4545
36,20.4571,1475,0,83.8068,0.0000
37,20.7608,1479,4,84.0341,0.2273
38,21.0841,1497,18,85.0568,1.0227
39,21.3983,1500,3,85.2273,0.1705
40,21.6739,1500,0,85.2273,0.0000
41,21.9582,1517,17,86.1932,0.9659
42,22.2339,1526,9,86.7045,0.5114
43,22.4927,1545,19,87.7841,1.0795
44,22.7606,1548,3,87.9545,0.1705
45,23.0143,1549,1,88.0114,0.0568
46,23.2909,1549,0,88.0114,0.0000
47,23.5343,1549,0,88.0114,0.0000
48,23.7817,1549,0,88.0114,0.0000
49,24.0280,1567,18,89.0341,1.0227
50,24.2505,1574,7,89.4318,0.3977
51,24.4505,1584,10,90.0000,0.5682
52,24.6454,1593,9,90.5114,0.5114
53,24.8302,1593,0,90.5114,0.0000
54,24.9983,1593,0,90.5114,0.0000
55,25.1712,1596,3,90.6818,0.1705
56,25.3393,1597,1,90.7386,0.0568
57,25.5209,1600,3,90.9091,0.1705
58,25.6911,1604,4,91.1364,0.2273
59,25.8708,1604,0,91.1364,0.0000
60,26.0366,1604,0,91.1364,0.0000
61,26.2054,1608,4,91.3636,0.2273
62,26.3756,1611,3,91.5341,0.1705
63,26.5556,1625,14,92.3295,0.7955
64,26.7238,1628,3,92.5000,0.1705
65,26.8919,1631,3,92.6705,0.1705
66,27.0419,1631,0,92.6705,0.0000
67,27.1952,1631,0,92.6705,0.0000
68,27.3449,1631,0,92.6705,0.0000
69,27.4887,1633,2,92.7841,0.1136
70,27.6454,1634,1,92.8409,0.0568
71,27.7926,1635,1,92.8977,0.0568
72,27.9348,1639,4,93.1250,0.2273
73,28.0853,1639,0,93.1250,0.0000
74,28.2199,1639,0,93.1250,0.0000
75,28.3608,1639,0,93.1250,0.0000
76,28.5005,1639,0,93.1250,0.0000
77,28.6360,1643,4,93.3523,0.2273
78,28.7714,1649,6,93.6932,0.3409
79,28.9146,1649,0,93.6932,0.0000
80,29.0524,1649,0,93.6932,0.0000
81,29.1877,1649,0,93.6932,0.0000
82,29.3147,1652,3,93.8636,0.1705
83,29.4404,1652,0,93.8636,0.0000
84,29.5545,1652,0,93.8636,0.0000
85,29.6717,1652,0,93.8636,0.0000
86,29.7914,1658,6,94.2045,0.3409
87,29.9189,1662,4,94.4318,0.2273
88,30.0287,1662,0,94.4318,0.0000
89,30.1367,1662,0,94.4318,0.0000
90,30.2472,1662,0,94.4318,0.0000
91,30.3514,1662,0,94.4318,0.0000
92,30.4561,1663,1,94.4886,0.0568
93,30.5600,1663,0,94.4886,0.0000
94,30.6644,1663,0,94.4886,0.0000
95,30.7749,1663,0,94.4886,0.0000
96,30.8851,1663,0,94.4886,0.0000
97,30.9981,1663,0,94.4886,0.0000
98,31.1035,1663,0,94.4886,0.0000
99,31.2085,1663,0,94.4886,0.0000
100,31.3205,1663,0,94.4886,0.0000
101,31.4256,1663,0,94.4886,0.0000
102,31.5327,1664,1,94.5455,0.0568
103,31.6509,1664,0,94.5455,0.0000
104,31.7778,1668,4,94.7727,0.2273
105,31.8990,1668,0,94.7727,0.0000
106,32.0127,1668,0,94.7727,0.0000
107,32.1194,1668,0,94.7727,0.0000
108,32.2292,1669,1,94.8295,0.0568
109,32.3386,1672,3,95.0000,0.1705
