Vector_Index,Time_Seconds,Total_Detected,Delta_Detected,Coverage_Percent,Delta_Coverage
1,0.0005,10,10,29.4118,29.4118
2,0.0009,10,0,29.4118,0.0000
3,0.0011,10,0,29.4118,0.0000
4,0.0013,19,9,55.8824,26.4706
5,0.0015,24,5,70.5882,14.7059
6,0.0016,24,0,70.5882,0.0000
7,0.0017,27,3,79.4118,8.8235
8,0.0018,28,1,82.3529,2.9412
9,0.0019,28,0,82.3529,0.0000
10,0.0020,28,0,82.3529,0.0000
11,0.0020,29,1,85.2941,2.9412
12,0.0021,29,0,85.2941,0.0000
13,0.0022,32,3,94.1176,8.8235
14,0.0022,32,0,94.1176,0.0000
15,0.0023,32,0,94.1176,0.0000
16,0.0023,32,0,94.1176,0.0000
17,0.0023,32,0,94.1176,0.0000
18,0.0023,32,0,94.1176,0.0000
19,0.0023,32,0,94.1176,0.0000
20,0.0024,33,1,97.0588,2.9412
