Vector_Index,Time_Seconds,Total_Detected,Delta_Detected,Coverage_Percent,Delta_Coverage
1,0.0011,1221,1221,22.2323,22.2323
2,4.8833,1699,478,30.9359,8.7036
3,8.6324,2112,413,38.4559,7.5200
4,12.0246,2401,289,43.7181,5.2622
5,15.1787,2599,198,47.3234,3.6052
6,17.9814,2767,168,50.3824,3.0590
7,20.5727,2944,177,53.6052,3.2229
8,23.0425,3047,103,55.4807,1.8755
9,25.3048,3141,94,57.1923,1.7116
10,27.4897,3199,58,58.2484,1.0561
11,29.6274,3263,64,59.4137,1.1653
12,31.7104,3318,55,60.4151,1.0015
13,33.9215,3367,49,61.3074,0.8922
14,36.2780,3482,115,63.4013,2.0940
15,38.5468,3512,30,63.9476,0.5462
16,40.5661,3540,28,64.4574,0.5098
17,42.5179,3561,21,64.8398,0.3824
18,44.4628,3579,18,65.1675,0.3277
19,46.5346,3611,32,65.7502,0.5827
20,48.7920,3626,15,66.0233,0.2731
21,50.9218,3665,39,66.7334,0.7101
22,53.0239,3687,22,67.1340,0.4006
23,55.0747,3694,7,67.2615,0.1275
24,56.8787,3697,3,67.3161,0.0546
25,58.6098,3735,38,68.0080,0.6919
26,60.3184,3763,28,68.5178,0.5098
27,62.0329,3806,43,69.3008,0.7830
28,63.7022,3830,24,69.7378,0.4370
29,65.3476,3862,32,70.3205,0.5827
30,66.8514,3862,0,70.3205,0.0000
31,68.3865,3900,38,71.0124,0.6919
32,69.9422,3909,9,71.1763,0.1639
33,71.3992,3920,11,71.3765,0.2003
34,72.8754,3922,2,71.4130,0.0364
35,74.4031,3923,1,71.4312,0.0182
36,75.8575,3938,15,71.7043,0.2731
37,77.3144,3946,8,71.8500,0.1457
38,78.8054,3948,2,71.8864,0.0364
39,80.3173,3966,18,72.2141,0.3277
40,81.7394,3978,12,72.4326,0.2185
41,83.1383,3997,19,72.7786,0.3460
42,84.5859,4029,32,73.3613,0.5827
43,85.9648,4030,1,73.3795,0.0182
44,87.3195,4040,10,73.5615,0.1821
45,88.6660,4136,96,75.3095,1.7480
46,90.0122,4140,4,75.3824,0.0728
47,91.2552,4141,1,75.4006,0.0182
48,92.5204,4145,4,75.4734,0.0728
49,93.8019,4152,7,75.6009,0.1275
50,95.0658,4159,7,75.7283,0.1275
51,96.3411,4166,7,75.8558,0.1275
52,97.6195,4167,1,75.8740,0.0182
53,98.8626,4167,0,75.8740,0.0000
54,100.0939,4167,0,75.8740,0.0000
55,101.2921,4169,2,75.9104,0.0364
56,102.4742,4171,2,75.9468,0.0364
57,103.7113,4173,2,75.9832,0.0364
58,104.9287,4195,22,76.3838,0.4006
59,106.1484,4195,0,76.3838,0.0000
60,107.4192,4195,0,76.3838,0.0000
61,108.6124,4195,0,76.3838,0.0000
62,109.8726,4200,5,76.4749,0.0910
63,111.1091,4200,0,76.4749,0.0000
64,112.4270,4202,2,76.5113,0.0364
65,113.6864,4202,0,76.5113,0.0000
66,115.1115,4202,0,76.5113,0.0000
67,116.4519,4202,0,76.5113,0.0000
68,117.7049,4203,1,76.5295,0.0182
69,118.9291,4203,0,76.5295,0.0000
70,120.1888,4204,1,76.5477,0.0182
71,121.4621,4205,1,76.5659,0.0182
72,122.6698,4219,14,76.8208,0.2549
73,123.8596,4220,1,76.8390,0.0182
74,125.1198,4230,10,77.0211,0.1821
75,126.3608,4230,0,77.0211,0.0000
76,127.5346,4242,12,77.2396,0.2185
77,128.6883,4242,0,77.2396,0.0000
78,129.8516,4246,4,77.3125,0.0728
79,131.0170,4254,8,77.4581,0.1457
80,132.1776,4264,10,77.6402,0.1821
81,133.3279,4264,0,77.6402,0.0000
82,134.5231,4264,0,77.6402,0.0000
83,135.6521,4266,2,77.6766,0.0364
84,136.8194,4266,0,77.6766,0.0000
85,137.9730,4278,12,77.8951,0.2185
86,139.1102,4279,1,77.9133,0.0182
87,140.2577,4282,3,77.9680,0.0546
88,141.4598,4298,16,78.2593,0.2913
89,142.6540,4298,0,78.2593,0.0000
90,143.8764,4302,4,78.3321,0.0728
91,145.0522,4302,0,78.3321,0.0000
92,146.3625,4302,0,78.3321,0.0000
93,147.4643,4302,0,78.3321,0.0000
94,148.5256,4302,0,78.3321,0.0000
95,149.6489,4303,1,78.3503,0.0182
96,150.7426,4303,0,78.3503,0.0000
97,151.8701,4303,0,78.3503,0.0000
98,153.0398,4303,0,78.3503,0.0000
99,154.1339,4304,1,78.3685,0.0182
100,155.3616,4308,4,78.4414,0.0728
101,156.5440,4308,0,78.4414,0.0000
102,157.9478,4309,1,78.4596,0.0182
103,159.1589,4325,16,78.7509,0.2913
104,160.3999,4325,0,78.7509,0.0000
105,161.6659,4355,30,79.2972,0.5462
106,162.9851,4355,0,79.2972,0.0000
107,164.2210,4355,0,79.2972,0.0000
108,165.3282,4355,0,79.2972,0.0000
109,166.3845,4355,0,79.2972,0.0000
110,167.4476,4367,12,79.5157,0.2185
111,168.5651,4367,0,79.5157,0.0000
112,169.6852,4367,0,79.5157,0.0000
113,170.7549,4367,0,79.5157,0.0000
114,171.9076,4367,0,79.5157,0.0000
115,173.1646,4381,14,79.7706,0.2549
116,174.3381,4381,0,79.7706,0.0000
117,175.4090,4381,0,79.7706,0.0000
118,176.4886,4382,1,79.7888,0.0182
119,177.4747,4382,0,79.7888,0.0000
120,178.5155,4382,0,79.7888,0.0000
121,179.5878,4418,36,80.4443,0.6555
122,180.7016,4418,0,80.4443,0.0000
123,181.7038,4418,0,80.4443,0.0000
124,182.7083,4418,0,80.4443,0.0000
125,183.6619,4418,0,80.4443,0.0000
126,184.6182,4432,14,80.6992,0.2549
127,185.5786,4432,0,80.6992,0.0000
128,186.5830,4432,0,80.6992,0.0000
129,187.6815,4432,0,80.6992,0.0000
130,188.8377,4444,12,80.9177,0.2185
131,189.8865,4444,0,80.9177,0.0000
132,190.9788,4444,0,80.9177,0.0000
133,192.0618,4444,0,80.9177,0.0000
134,193.0260,4445,1,80.9359,0.0182
135,193.9597,4445,0,80.9359,0.0000
136,194.9111,4445,0,80.9359,0.0000
137,195.8697,4445,0,80.9359,0.0000
138,196.8303,4445,0,80.9359,0.0000
139,197.7714,4445,0,80.9359,0.0000
140,198.8516,4445,0,80.9359,0.0000
141,199.9308,4445,0,80.9359,0.0000
142,200.9446,4447,2,80.9723,0.0364
143,201.9341,4447,0,80.9723,0.0000
144,202.9133,4447,0,80.9723,0.0000
145,203.9022,4448,1,80.9905,0.0182
146,204.8650,4448,0,80.9905,0.0000
147,205.8853,4448,0,80.9905,0.0000
148,206.8631,4448,0,80.9905,0.0000
149,207.8318,4448,0,80.9905,0.0000
150,208.9772,4448,0,80.9905,0.0000
151,209.9571,4448,0,80.9905,0.0000
152,210.9407,4448,0,80.9905,0.0000
153,211.8646,4448,0,80.9905,0.0000
154,212.7892,4448,0,80.9905,0.0000
155,213.7396,4448,0,80.9905,0.0000
156,214.7384,4448,0,80.9905,0.0000
157,215.7005,4448,0,80.9905,0.0000
158,216.6744,4448,0,80.9905,0.0000
159,217.7964,4448,0,80.9905,0.0000
160,218.7744,4448,0,80.9905,0.0000
161,219.7882,4448,0,80.9905,0.0000
162,220.7578,4448,0,80.9905,0.0000
163,221.6860,4448,0,80.9905,0.0000
164,222.6113,4454,6,81.0998,0.1092
165,223.5274,4454,0,81.0998,0.0000
166,224.4655,4454,0,81.0998,0.0000
167,225.4060,4455,1,81.1180,0.0182
168,226.3421,4455,0,81.1180,0.0000
169,227.2917,4457,2,81.1544,0.0364
170,228.2310,4457,0,81.1544,0.0000
171,229.2140,4457,0,81.1544,0.0000
172,230.1837,4457,0,81.1544,0.0000
173,231.1433,4457,0,81.1544,0.0000
174,232.1002,4457,0,81.1544,0.0000
175,233.0385,4457,0,81.1544,0.0000
176,233.9637,4457,0,81.1544,0.0000
177,234.8756,4457,0,81.1544,0.0000
178,235.8119,4483,26,81.6278,0.4734
179,236.8063,4483,0,81.6278,0.0000
180,237.7772,4483,0,81.6278,0.0000
181,238.8450,4503,20,81.9920,0.3642
182,239.8681,4503,0,81.9920,0.0000
183,240.8323,4503,0,81.9920,0.0000
184,241.8629,4505,2,82.0284,0.0364
185,242.8271,4505,0,82.0284,0.0000
186,243.7650,4505,0,82.0284,0.0000
187,244.7060,4505,0,82.0284,0.0000
188,245.7442,4505,0,82.0284,0.0000
189,246.6351,4505,0,82.0284,0.0000
