Vector_Index,Time_Seconds,Total_Detected,Delta_Detected,Coverage_Percent,Delta_Coverage
1,0.5425,360,360,20.4545,20.4545
2,0.9926,544,184,30.9091,10.4545
3,1.3929,612,68,34.7727,3.8636
4,1.7707,693,81,39.3750,4.6023
5,2.1169,758,65,43.0682,3.6932
6,2.4324,835,77,47.4432,4.3750
7,2.7199,889,54,50.5114,3.0682
8,2.9978,966,77,54.8864,4.3750
9,3.2591,1064,98,60.4545,5.5682
10,3.4944,1108,44,62.9545,2.5000
11,3.7054,1157,49,65.7386,2.7841
12,3.9018,1164,7,66.1364,0.3977
13,4.0971,1196,32,67.9545,1.8182
14,4.2823,1201,5,68.2386,0.2841
15,4.4620,1204,3,68.4091,0.1705
16,4.6363,1240,36,70.4545,2.0455
17,4.8097,1250,10,71.0227,0.5682
18,4.9684,1253,3,71.1932,0.1705
19,5.1301,1273,20,72.3295,1.1364
20,5.2828,1300,27,73.8636,1.5341
21,5.4269,1322,22,75.1136,1.2500
22,5.5640,1327,5,75.3977,0.2841
23,5.7022,1328,1,75.4545,0.0568
24,5.8400,1332,4,75.6818,0.2273
25,5.9743,1332,0,75.6818,0.0000
26,6.1092,1341,9,76.1932,0.5114
27,6.2455,1342,1,76.2500,0.0568
28,6.3806,1365,23,77.5568,1.3068
29,6.5054,1374,9,78.0682,0.5114
30,6.6269,1374,0,78.0682,0.0000
31,6.7485,1374,0,78.0682,0.0000
32,6.8706,1379,5,78.3523,0.2841
33,6.9921,1382,3,78.5227,0.1705
34,7.1108,1393,11,79.1477,0.6250
35,7.2284,1396,3,79.3182,0.1705
36,7.3417,1396,0,79.3182,0.0000
37,7.4614,1398,2,79.4318,0.1136
38,7.5803,1411,13,80.1705,0.7386
39,7.7010,1419,8,80.6250,0.4545
40,7.8075,1437,18,81.6477,1.0227
41,7.9136,1439,2,81.7614,0.1136
42,8.0352,1439,0,81.7614,0.0000
43,8.1408,1444,5,82.0455,0.2841
44,8.2517,1446,2,82.1591,0.1136
45,8.3548,1447,1,82.2159,0.0568
46,8.4526,1448,1,82.2727,0.0568
47,8.5525,1456,8,82.7273,0.4545
48,8.6499,1456,0,82.7273,0.0000
49,8.7461,1456,0,82.7273,0.0000
50,8.8482,1456,0,82.7273,0.0000
51,8.9441,1459,3,82.8977,0.1705
52,9.0390,1459,0,82.8977,0.0000
53,9.1351,1461,2,83.0114,0.1136
54,9.2304,1461,0,83.0114,0.0000
55,9.3229,1477,16,83.9205,0.9091
56,9.4119,1492,15,84.7727,0.8523
57,9.4944,1493,1,84.8295,0.0568
58,9.5772,1503,10,85.3977,0.5682
59,9.6569,1503,0,85.3977,0.0000
60,9.7367,1509,6,85.7386,0.3409
61,9.8177,1521,12,86.4205,0.6818
62,9.8964,1521,0,86.4205,0.0000
63,9.9694,1521,0,86.4205,0.0000
64,10.0445,1521,0,86.4205,0.0000
65,10.1171,1525,4,86.6477,0.2273
66,10.1923,1527,2,86.7614,0.1136
67,10.2656,1527,0,86.7614,0.0000
68,10.3367,1527,0,86.7614,0.0000
69,10.4073,1527,0,86.7614,0.0000
70,10.4800,1527,0,86.7614,0.0000
71,10.5511,1528,1,86.8182,0.0568
72,10.6246,1531,3,86.9886,0.1705
73,10.6978,1540,9,87.5000,0.5114
74,10.7667,1540,0,87.5000,0.0000
75,10.8358,1543,3,87.6705,0.1705
76,10.9033,1544,1,87.7273,0.0568
77,10.9718,1546,2,87.8409,0.1136
78,11.0405,1547,1,87.8977,0.0568
79,11.1072,1547,0,87.8977,0.0000
80,11.1733,1547,0,87.8977,0.0000
81,11.2399,1547,0,87.8977,0.0000
82,11.3061,1547,0,87.8977,0.0000
83,11.3728,1547,0,87.8977,0.0000
84,11.4391,1559,12,88.5795,0.6818
85,11.5016,1559,0,88.5795,0.0000
86,11.5636,1560,1,88.6364,0.0568
87,11.6277,1561,1,88.6932,0.0568
88,11.6919,1562,1,88.7500,0.0568
89,11.7547,1562,0,88.7500,0.0000
90,11.8165,1563,1,88.8068,0.0568
91,11.8811,1563,0,88.8068,0.0000
92,11.9408,1563,0,88.8068,0.0000
93,12.0018,1566,3,88.9773,0.1705
94,12.0631,1566,0,88.9773,0.0000
95,12.1221,1566,0,88.9773,0.0000
96,12.1827,1566,0,88.9773,0.0000
97,12.2437,1566,0,88.9773,0.0000
98,12.3079,1566,0,88.9773,0.0000
99,12.3675,1566,0,88.9773,0.0000
100,12.4309,1568,2,89.0909,0.1136
101,12.4913,1568,0,89.0909,0.0000
102,12.5498,1574,6,89.4318,0.3409
103,12.6090,1579,5,89.7159,0.2841
104,12.6655,1583,4,89.9432,0.2273
105,12.7215,1583,0,89.9432,0.0000
106,12.7765,1583,0,89.9432,0.0000
107,12.8307,1583,0,89.9432,0.0000
108,12.8866,1583,0,89.9432,0.0000
109,12.9428,1583,0,89.9432,0.0000
110,12.9978,1583,0,89.9432,0.0000
111,13.0534,1583,0,89.9432,0.0000
112,13.1082,1583,0,89.9432,0.0000
113,13.1614,1583,0,89.9432,0.0000
114,13.2181,1589,6,90.2841,0.3409
115,13.2714,1589,0,90.2841,0.0000
116,13.3243,1589,0,90.2841,0.0000
117,13.3793,1589,0,90.2841,0.0000
118,13.4331,1589,0,90.2841,0.0000
119,13.4851,1589,0,90.2841,0.0000
120,13.5385,1589,0,90.2841,0.0000
121,13.5915,1589,0,90.2841,0.0000
122,13.6444,1589,0,90.2841,0.0000
123,13.6961,1589,0,90.2841,0.0000
124,13.7488,1589,0,90.2841,0.0000
125,13.8011,1589,0,90.2841,0.0000
126,13.8539,1590,1,90.3409,0.0568
127,13.9076,1592,2,90.4545,0.1136
128,13.9605,1592,0,90.4545,0.0000
129,14.0126,1592,0,90.4545,0.0000
130,14.0657,1592,0,90.4545,0.0000
131,14.1171,1592,0,90.4545,0.0000
132,14.1695,1592,0,90.4545,0.0000
133,14.2226,1596,4,90.6818,0.2273
134,14.2738,1596,0,90.6818,0.0000
135,14.3238,1596,0,90.6818,0.0000
136,14.3751,1596,0,90.6818,0.0000
137,14.4270,1597,1,90.7386,0.0568
138,14.4790,1597,0,90.7386,0.0000
139,14.5294,1598,1,90.7955,0.0568
140,14.5807,1598,0,90.7955,0.0000
141,14.6304,1598,0,90.7955,0.0000
142,14.6809,1598,0,90.7955,0.0000
143,14.7312,1598,0,90.7955,0.0000
144,14.7804,1606,8,91.2500,0.4545
145,14.8302,1606,0,91.2500,0.0000
146,14.8774,1606,0,91.2500,0.0000
147,14.9259,1617,11,91.8750,0.6250
148,14.9710,1617,0,91.8750,0.0000
149,15.0149,1617,0,91.8750,0.0000
150,15.0579,1617,0,91.8750,0.0000
151,15.1017,1617,0,91.8750,0.0000
152,15.1467,1617,0,91.8750,0.0000
153,15.1922,1619,2,91.9886,0.1136
154,15.2365,1619,0,91.9886,0.0000
155,15.2797,1619,0,91.9886,0.0000
156,15.3229,1619,0,91.9886,0.0000
157,15.3672,1619,0,91.9886,0.0000
158,15.4111,1619,0,91.9886,0.0000
159,15.4552,1619,0,91.9886,0.0000
160,15.5000,1619,0,91.9886,0.0000
161,15.5440,1619,0,91.9886,0.0000
162,15.5882,1619,0,91.9886,0.0000
163,15.6314,1619,0,91.9886,0.0000
164,15.6753,1619,0,91.9886,0.0000
165,15.7202,1619,0,91.9886,0.0000
166,15.7627,1619,0,91.9886,0.0000
167,15.8059,1619,0,91.9886,0.0000
168,15.8492,1619,0,91.9886,0.0000
169,15.8934,1620,1,92.0455,0.0568
170,15.9370,1620,0,92.0455,0.0000
171,15.9806,1620,0,92.0455,0.0000
172,16.0236,1620,0,92.0455,0.0000
173,16.0669,1620,0,92.0455,0.0000
174,16.1093,1620,0,92.0455,0.0000
175,16.1534,1620,0,92.0455,0.0000
176,16.1967,1632,12,92.7273,0.6818
177,16.2375,1632,0,92.7273,0.0000
178,16.2774,1632,0,92.7273,0.0000
179,16.3167,1632,0,92.7273,0.0000
180,16.3582,1632,0,92.7273,0.0000
181,16.4040,1632,0,92.7273,0.0000
182,16.4447,1632,0,92.7273,0.0000
183,16.4838,1632,0,92.7273,0.0000
184,16.5243,1635,3,92.8977,0.1705
185,16.5691,1636,1,92.9545,0.0568
186,16.6111,1637,1,93.0114,0.0568
187,16.6502,1637,0,93.0114,0.0000
188,16.6887,1637,0,93.0114,0.0000
189,16.7266,1637,0,93.0114,0.0000
190,16.7646,1637,0,93.0114,0.0000
191,16.8039,1637,0,93.0114,0.0000
192,16.8458,1637,0,93.0114,0.0000
193,16.8863,1637,0,93.0114,0.0000
194,16.9253,1637,0,93.0114,0.0000
195,16.9665,1637,0,93.0114,0.0000
196,17.0039,1637,0,93.0114,0.0000
197,17.0424,1637,0,93.0114,0.0000
198,17.0821,1637,0,93.0114,0.0000
199,17.1216,1637,0,93.0114,0.0000
200,17.1609,1637,0,93.0114,0.0000
201,17.1998,1637,0,93.0114,0.0000
202,17.2394,1637,0,93.0114,0.0000
203,17.2779,1637,0,93.0114,0.0000
204,17.3170,1637,0,93.0114,0.0000
205,17.3556,1637,0,93.0114,0.0000
206,17.3949,1655,18,94.0341,1.0227
207,17.4302,1655,0,94.0341,0.0000
208,17.4643,1655,0,94.0341,0.0000
209,17.4969,1655,0,94.0341,0.0000
210,17.5304,1655,0,94.0341,0.0000
211,17.5640,1655,0,94.0341,0.0000
212,17.5977,1655,0,94.0341,0.0000
213,17.6308,1655,0,94.0341,0.0000
214,17.6651,1655,0,94.0341,0.0000
215,17.6985,1655,0,94.0341,0.0000
216,17.7313,1659,4,94.2614,0.2273
217,17.7651,1659,0,94.2614,0.0000
218,17.7979,1659,0,94.2614,0.0000
219,17.8311,1659,0,94.2614,0.0000
220,17.8622,1659,0,94.2614,0.0000
221,17.8944,1659,0,94.2614,0.0000
222,17.9268,1663,4,94.4886,0.2273
223,17.9575,1663,0,94.4886,0.0000
224,17.9885,1663,0,94.4886,0.0000
225,18.0195,1668,5,94.7727,0.2841
226,18.0489,1668,0,94.7727,0.0000
227,18.0786,1669,1,94.8295,0.0568
228,18.1086,1669,0,94.8295,0.0000
229,18.1367,1669,0,94.8295,0.0000
230,18.1654,1669,0,94.8295,0.0000
231,18.1950,1669,0,94.8295,0.0000
232,18.2239,1669,0,94.8295,0.0000
233,18.2532,1669,0,94.8295,0.0000
234,18.2832,1669,0,94.8295,0.0000
235,18.3124,1669,0,94.8295,0.0000
236,18.3444,1669,0,94.8295,0.0000
237,18.3739,1673,4,95.0568,0.2273
