Vector_Index,Time_Seconds,Total_Detected,Delta_Detected,Coverage_Percent,Delta_Coverage
1,0.0003,2282,2282,15.1066,15.1066
2,107.9271,3937,1655,26.0625,10.9559
3,199.9592,4935,998,32.6691,6.6066
4,279.6763,5702,767,37.7466,5.0775
5,352.4514,6415,713,42.4666,4.7200
6,423.2105,6771,356,44.8232,2.3567
7,485.3534,7753,982,51.3240,6.5007
8,546.4400,8067,314,53.4026,2.0786
9,601.5295,8462,395,56.0175,2.6149
10,653.0087,8673,211,57.4143,1.3968
11,702.3966,9355,682,61.9290,4.5148
12,751.4578,9498,143,62.8757,0.9466
13,794.8056,9825,327,65.0404,2.1647
14,838.5314,10377,552,68.6946,3.6542
15,878.0721,10563,186,69.9259,1.2313
16,915.6561,10704,141,70.8593,0.9334
17,951.1869,10837,133,71.7397,0.8804
18,986.6064,10980,143,72.6863,0.9466
19,1019.7830,11061,81,73.2226,0.5362
20,1052.3495,11143,82,73.7654,0.5428
21,1084.1581,11307,164,74.8511,1.0857
22,1114.7888,11458,151,75.8507,0.9996
23,1144.5736,11549,91,76.4531,0.6024
24,1174.0744,11560,11,76.5259,0.0728
25,1206.7904,11680,120,77.3203,0.7944
26,1234.0820,11729,49,77.6446,0.3244
27,1260.3440,11884,155,78.6707,1.0261
28,1287.4958,11999,115,79.4320,0.7613
29,1338.5629,12134,135,80.3257,0.8937
30,1394.9803,12315,181,81.5239,1.1982
31,1454.3287,12354,39,81.7821,0.2582
32,1503.8569,12397,43,82.0667,0.2847
33,1547.5649,12437,40,82.3315,0.2648
34,1603.4444,12495,58,82.7155,0.3840
35,1649.1019,12546,51,83.0531,0.3376
36,1695.8947,12678,132,83.9269,0.8738
37,1745.7475,12755,77,84.4366,0.5097
38,1788.6804,12839,84,84.9927,0.5561
