Vector_Index,Time_Seconds,Total_Detected,Delta_Detected,Coverage_Percent,Delta_Coverage
151,3.3204,814,1,94.2130,0.1157
152,3.3276,814,0,94.2130,0.0000
153,3.3345,814,0,94.2130,0.0000
154,3.3419,814,0,94.2130,0.0000
155,3.3487,814,0,94.2130,0.0000
156,3.3556,814,0,94.2130,0.0000
157,3.3622,814,0,94.2130,0.0000
158,3.3693,814,0,94.2130,0.0000
159,3.3759,814,0,94.2130,0.0000
160,3.3826,814,0,94.2130,0.0000
161,3.3893,814,0,94.2130,0.0000
162,3.3959,814,0,94.2130,0.0000
163,3.4025,814,0,94.2130,0.0000
164,3.4090,814,0,94.2130,0.0000
165,3.4157,814,0,94.2130,0.0000
166,3.4226,814,0,94.2130,0.0000
167,3.4294,814,0,94.2130,0.0000
168,3.4359,834,20,96.5278,2.3148
