Vector_Index,Time_Seconds,Total_Detected,Delta_Detected,Coverage_Percent,Delta_Coverage
1,0.0004,2303,2303,15.2456,15.2456
2,112.2458,3852,1549,25.4998,10.2542
3,269.6954,5201,1349,34.4300,8.9302
4,412.8451,6084,883,40.2754,5.8454
5,547.1018,6675,591,44.1877,3.9124
6,670.0371,7441,766,49.2586,5.0708
7,782.7540,7943,502,52.5818,3.3232
8,885.2731,8589,646,56.8582,4.2764
9,977.1896,8951,362,59.2546,2.3964
10,1045.6488,9176,225,60.7441,1.4895
11,1130.5968,9511,335,62.9617,2.2177
12,1211.5675,10007,496,66.2452,3.2835
13,1289.8418,10175,168,67.3573,1.1121
14,1359.8494,10404,229,68.8733,1.5160
15,1428.8314,10463,59,69.2639,0.3906
16,1494.0647,10574,111,69.9987,0.7348
17,1558.5591,10671,97,70.6408,0.6421
18,1621.8633,10895,224,72.1237,1.4829
19,1683.9359,11058,163,73.2027,1.0790
20,1742.9492,11097,39,73.4609,0.2582
21,1798.3541,11182,85,74.0236,0.5627
