Vector_Index,Time_Seconds,Total_Detected,Delta_Detected,Coverage_Percent,Delta_Coverage
1,0.0006,176,176,17.6353,17.6353
2,0.1508,255,79,25.5511,7.9158
3,0.2723,280,25,28.0561,2.5050
4,0.3799,454,174,45.4910,17.4349
5,0.4849,472,18,47.2946,1.8036
6,0.5701,490,18,49.0982,1.8036
7,0.6499,495,5,49.5992,0.5010
8,0.7250,517,22,51.8036,2.2044
9,0.8000,517,0,51.8036,0.0000
10,0.8687,535,18,53.6072,1.8036
11,0.9386,535,0,53.6072,0.0000
12,1.0070,616,81,61.7234,8.1162
13,1.0737,634,18,63.5271,1.8036
14,1.1323,643,9,64.4289,0.9018
15,1.1870,648,5,64.9299,0.5010
16,1.2387,649,1,65.0301,0.1002
17,1.2897,690,41,69.1383,4.1082
18,1.3398,690,0,69.1383,0.0000
19,1.3853,690,0,69.1383,0.0000
20,1.4295,691,1,69.2385,0.1002
21,1.4734,691,0,69.2385,0.0000
22,1.5182,697,6,69.8397,0.6012
23,1.5616,707,10,70.8417,1.0020
24,1.6056,714,7,71.5431,0.7014
25,1.6501,714,0,71.5431,0.0000
26,1.6924,741,27,74.2485,2.7054
27,1.7350,766,25,76.7535,2.5050
28,1.7738,770,4,77.1543,0.4008
29,1.8088,786,16,78.7575,1.6032
30,1.8440,786,0,78.7575,0.0000
31,1.8764,794,8,79.5591,0.8016
32,1.9073,794,0,79.5591,0.0000
33,1.9381,794,0,79.5591,0.0000
34,1.9681,794,0,79.5591,0.0000
35,1.9982,794,0,79.5591,0.0000
36,2.0286,794,0,79.5591,0.0000
37,2.0588,795,1,79.6593,0.1002
38,2.0889,795,0,79.6593,0.0000
39,2.1194,812,17,81.3627,1.7034
40,2.1499,812,0,81.3627,0.0000
41,2.1792,826,14,82.7655,1.4028
42,2.2085,827,1,82.8657,0.1002
43,2.2349,827,0,82.8657,0.0000
44,2.2608,827,0,82.8657,0.0000
45,2.2860,827,0,82.8657,0.0000
46,2.3110,827,0,82.8657,0.0000
47,2.3360,832,5,83.3667,0.5010
48,2.3613,832,0,83.3667,0.0000
49,2.3864,832,0,83.3667,0.0000
50,2.4112,832,0,83.3667,0.0000
51,2.4357,832,0,83.3667,0.0000
52,2.4601,840,8,84.1683,0.8016
53,2.4853,844,4,84.5691,0.4008
54,2.5099,847,3,84.8697,0.3006
55,2.5328,847,0,84.8697,0.0000
56,2.5551,847,0,84.8697,0.0000
57,2.5771,851,4,85.2705,0.4008
58,2.5994,851,0,85.2705,0.0000
59,2.6211,855,4,85.6713,0.4008
60,2.6424,855,0,85.6713,0.0000
61,2.6630,855,0,85.6713,0.0000
62,2.6837,855,0,85.6713,0.0000
63,2.7045,859,4,86.0721,0.4008
64,2.7254,859,0,86.0721,0.0000
65,2.7458,867,8,86.8737,0.8016
66,2.7662,867,0,86.8737,0.0000
67,2.7857,867,0,86.8737,0.0000
68,2.8052,867,0,86.8737,0.0000
69,2.8242,871,4,87.2745,0.4008
70,2.8429,871,0,87.2745,0.0000
71,2.8619,871,0,87.2745,0.0000
72,2.8818,873,2,87.4749,0.2004
73,2.9008,873,0,87.4749,0.0000
74,2.9202,877,4,87.8758,0.4008
75,2.9394,877,0,87.8758,0.0000
76,2.9575,877,0,87.8758,0.0000
77,2.9757,877,0,87.8758,0.0000
78,2.9939,877,0,87.8758,0.0000
79,3.0118,880,3,88.1764,0.3006
80,3.0294,880,0,88.1764,0.0000
81,3.0473,880,0,88.1764,0.0000
82,3.0660,880,0,88.1764,0.0000
83,3.0833,880,0,88.1764,0.0000
84,3.1003,880,0,88.1764,0.0000
85,3.1181,880,0,88.1764,0.0000
86,3.1361,884,4,88.5772,0.4008
87,3.1537,884,0,88.5772,0.0000
88,3.1712,884,0,88.5772,0.0000
89,3.1880,884,0,88.5772,0.0000
90,3.2048,888,4,88.9780,0.4008
91,3.2218,888,0,88.9780,0.0000
92,3.2384,888,0,88.9780,0.0000
93,3.2560,888,0,88.9780,0.0000
94,3.2726,888,0,88.9780,0.0000
95,3.2888,888,0,88.9780,0.0000
96,3.3051,888,0,88.9780,0.0000
97,3.3213,888,0,88.9780,0.0000
98,3.3376,888,0,88.9780,0.0000
