Vector_Index,Time_Seconds,Total_Detected,Delta_Detected,Coverage_Percent,Delta_Coverage
1,0.0007,360,360,20.4545,20.4545
2,0.5694,544,184,30.9091,10.4545
3,1.0125,612,68,34.7727,3.8636
4,1.4036,693,81,39.3750,4.6023
5,1.7677,758,65,43.0682,3.6932
6,2.1105,835,77,47.4432,4.3750
7,2.4312,889,54,50.5114,3.0682
8,2.7294,966,77,54.8864,4.3750
9,3.0052,1064,98,60.4545,5.5682
10,3.2612,1108,44,62.9545,2.5000
11,3.4872,1157,49,65.7386,2.7841
12,3.6957,1164,7,66.1364,0.3977
13,3.8891,1196,32,67.9545,1.8182
14,4.0788,1201,5,68.2386,0.2841
15,4.2597,1204,3,68.4091,0.1705
16,4.4383,1240,36,70.4545,2.0455
17,4.6203,1250,10,71.0227,0.5682
18,4.7849,1253,3,71.1932,0.1705
19,4.9478,1273,20,72.3295,1.1364
20,5.1098,1300,27,73.8636,1.5341
21,5.2693,1322,22,75.1136,1.2500
22,5.4166,1327,5,75.3977,0.2841
23,5.5586,1328,1,75.4545,0.0568
24,5.6978,1332,4,75.6818,0.2273
25,5.8357,1332,0,75.6818,0.0000
26,5.9734,1341,9,76.1932,0.5114
27,6.1092,1342,1,76.2500,0.0568
28,6.2507,1365,23,77.5568,1.3068
29,6.3855,1374,9,78.0682,0.5114
30,6.5111,1374,0,78.0682,0.0000
31,6.6364,1374,0,78.0682,0.0000
32,6.7580,1379,5,78.3523,0.2841
33,6.8806,1382,3,78.5227,0.1705
34,7.0015,1393,11,79.1477,0.6250
35,7.1202,1396,3,79.3182,0.1705
36,7.2387,1396,0,79.3182,0.0000
37,7.3551,1398,2,79.4318,0.1136
38,7.4690,1411,13,80.1705,0.7386
39,7.5848,1419,8,80.6250,0.4545
40,7.6957,1437,18,81.6477,1.0227
41,7.8044,1439,2,81.7614,0.1136
42,7.9068,1439,0,81.7614,0.0000
43,8.0098,1444,5,82.0455,0.2841
44,8.1162,1446,2,82.1591,0.1136
45,8.2153,1447,1,82.2159,0.0568
46,8.3164,1448,1,82.2727,0.0568
47,8.4188,1456,8,82.7273,0.4545
48,8.5186,1456,0,82.7273,0.0000
49,8.6155,1456,0,82.7273,0.0000
50,8.7118,1456,0,82.7273,0.0000
51,8.8096,1459,3,82.8977,0.1705
52,8.9046,1459,0,82.8977,0.0000
53,9.0002,1461,2,83.0114,0.1136
54,9.0942,1461,0,83.0114,0.0000
55,9.1893,1477,16,83.9205,0.9091
56,9.2823,1492,15,84.7727,0.8523
57,9.3731,1493,1,84.8295,0.0568
58,9.4605,1503,10,85.3977,0.5682
59,9.5439,1503,0,85.3977,0.0000
60,9.6259,1509,6,85.7386,0.3409
61,9.7064,1521,12,86.4205,0.6818
