Vector_Index,Time_Seconds,Total_Detected,Delta_Detected,Coverage_Percent,Delta_Coverage
1,0.0003,771,771,10.8898,10.8898
2,42.1510,1177,406,16.6243,5.7345
3,80.6167,1577,400,22.2740,5.6497
4,115.5448,2119,542,29.9294,7.6554
5,148.4134,2388,269,33.7288,3.7994
6,178.2625,2834,446,40.0282,6.2994
7,206.5195,3178,344,44.8870,4.8588
8,231.5288,3250,72,45.9040,1.0169
9,255.4175,3435,185,48.5169,2.6130
10,278.5598,3505,70,49.5056,0.9887
11,300.5833,3514,9,49.6328,0.1271
12,322.3862,3763,249,53.1497,3.5169
13,343.8452,3838,75,54.2090,1.0593
14,363.3850,3922,84,55.3955,1.1864
15,382.7604,3949,27,55.7768,0.3814
16,401.4582,3996,47,56.4407,0.6638
17,420.1732,4000,4,56.4972,0.0565
18,438.3346,4099,99,57.8955,1.3983
19,456.6925,4143,44,58.5169,0.6215
20,474.7761,4229,86,59.7316,1.2147
21,492.0426,4255,26,60.0989,0.3672
22,508.5217,4310,55,60.8757,0.7768
23,525.2632,4408,98,62.2599,1.3842
24,541.7446,4421,13,62.4435,0.1836
25,557.3606,4421,0,62.4435,0.0000
26,572.8519,4497,76,63.5169,1.0734
27,588.2327,4527,30,63.9407,0.4237
28,603.3607,4698,171,66.3559,2.4153
29,618.2074,4723,25,66.7090,0.3531
30,632.3199,4861,138,68.6582,1.9492
31,646.2933,4888,27,69.0395,0.3814
32,659.6019,4921,33,69.5056,0.4661
33,672.7326,4930,9,69.6328,0.1271
34,685.3289,4964,34,70.1130,0.4802
35,697.9185,4964,0,70.1130,0.0000
36,710.4943,4997,33,70.5791,0.4661
37,723.1146,5001,4,70.6356,0.0565
38,735.3853,5004,3,70.6780,0.0424
39,747.8998,5006,2,70.7062,0.0282
40,760.3587,5016,10,70.8475,0.1412
41,772.5774,5053,37,71.3701,0.5226
42,785.3912,5091,38,71.9068,0.5367
43,797.2694,5129,38,72.4435,0.5367
44,809.0432,5134,5,72.5141,0.0706
45,820.6961,5261,127,74.3079,1.7938
46,832.3945,5324,63,75.1977,0.8898
47,843.1502,5344,20,75.4802,0.2825
48,853.7108,5365,21,75.7768,0.2966
49,864.0529,5395,30,76.2006,0.4237
50,874.1641,5400,5,76.2712,0.0706
51,882.7041,5433,33,76.7373,0.4661
52,892.1805,5433,0,76.7373,0.0000
53,902.5759,5447,14,76.9350,0.1977
54,913.3658,5461,14,77.1328,0.1977
55,923.1604,5467,6,77.2175,0.0847
56,933.3343,5506,39,77.7684,0.5508
57,943.2884,5508,2,77.7966,0.0282
58,953.0003,5554,46,78.4463,0.6497
59,962.6001,5554,0,78.4463,0.0000
60,972.4322,5586,32,78.8983,0.4520
