Vector_Index,Time_Seconds,Total_Detected,Delta_Detected,Coverage_Percent,Delta_Coverage
1,0.0006,338,338,12.4723,12.4723
2,1.1777,519,181,19.1513,6.6790
3,2.2043,577,58,21.2915,2.1402
4,3.1368,1031,454,38.0443,16.7528
5,4.0560,1077,46,39.7417,1.6974
6,4.7742,1138,61,41.9926,2.2509
7,5.4818,1152,14,42.5092,0.5166
8,6.1521,1220,68,45.0185,2.5092
9,6.8124,1220,0,45.0185,0.0000
10,7.4509,1282,62,47.3063,2.2878
11,8.0875,1282,0,47.3063,0.0000
12,8.6979,1573,291,58.0443,10.7380
13,9.3082,1658,85,61.1808,3.1365
14,9.8034,1675,17,61.8081,0.6273
15,10.2590,1699,24,62.6937,0.8856
16,10.7128,1700,1,62.7306,0.0369
17,11.1466,1823,123,67.2694,4.5387
18,11.5738,1823,0,67.2694,0.0000
19,11.9475,1828,5,67.4539,0.1845
20,12.3261,1846,18,68.1181,0.6642
21,12.7097,1846,0,68.1181,0.0000
22,13.0795,1857,11,68.5240,0.4059
23,13.4497,1882,25,69.4465,0.9225
24,13.8155,1906,24,70.3321,0.8856
25,14.1755,1906,0,70.3321,0.0000
26,14.5161,1986,80,73.2841,2.9520
27,14.8574,2080,94,76.7528,3.4686
28,15.1661,2088,8,77.0480,0.2952
29,15.4335,2138,50,78.8930,1.8450
30,15.6999,2138,0,78.8930,0.0000
31,15.9446,2146,8,79.1882,0.2952
32,16.1910,2146,0,79.1882,0.0000
33,16.4306,2146,0,79.1882,0.0000
34,16.6745,2146,0,79.1882,0.0000
35,16.9214,2151,5,79.3727,0.1845
36,17.1670,2151,0,79.3727,0.0000
37,17.4109,2152,1,79.4096,0.0369
38,17.6486,2152,0,79.4096,0.0000
39,17.8876,2188,36,80.7380,1.3284
40,18.1243,2188,0,80.7380,0.0000
41,18.3487,2238,50,82.5830,1.8450
42,18.5757,2239,1,82.6199,0.0369
43,18.7787,2241,2,82.6937,0.0738
44,18.9817,2241,0,82.6937,0.0000
45,19.1828,2243,2,82.7675,0.0738
46,19.3826,2251,8,83.0627,0.2952
47,19.5897,2256,5,83.2472,0.1845
48,19.7876,2256,0,83.2472,0.0000
49,20.0010,2256,0,83.2472,0.0000
50,20.1987,2256,0,83.2472,0.0000
51,20.3918,2256,0,83.2472,0.0000
52,20.5889,2274,18,83.9114,0.6642
53,20.7858,2278,4,84.0590,0.1476
54,20.9731,2288,10,84.4280,0.3690
55,21.1616,2288,0,84.4280,0.0000
56,21.3445,2288,0,84.4280,0.0000
57,21.5279,2310,22,85.2399,0.8118
58,21.7093,2310,0,85.2399,0.0000
59,21.8798,2314,4,85.3875,0.1476
60,22.0516,2314,0,85.3875,0.0000
61,22.2208,2316,2,85.4613,0.0738
62,22.3907,2316,0,85.4613,0.0000
63,22.5628,2320,4,85.6089,0.1476
64,22.7297,2320,0,85.6089,0.0000
65,22.8952,2328,8,85.9041,0.2952
66,23.0609,2328,0,85.9041,0.0000
67,23.2242,2328,0,85.9041,0.0000
68,23.3863,2328,0,85.9041,0.0000
69,23.5467,2332,4,86.0517,0.1476
70,23.7105,2332,0,86.0517,0.0000
71,23.8742,2332,0,86.0517,0.0000
72,24.0379,2334,2,86.1255,0.0738
73,24.1975,2334,0,86.1255,0.0000
74,24.3640,2343,9,86.4576,0.3321
75,24.5262,2343,0,86.4576,0.0000
76,24.6881,2343,0,86.4576,0.0000
77,24.8439,2343,0,86.4576,0.0000
78,25.0033,2343,0,86.4576,0.0000
79,25.1593,2350,7,86.7159,0.2583
80,25.3162,2350,0,86.7159,0.0000
81,25.4734,2350,0,86.7159,0.0000
82,25.6273,2350,0,86.7159,0.0000
83,25.7818,2350,0,86.7159,0.0000
