Vector_Index,Time_Seconds,Total_Detected,Delta_Detected,Coverage_Percent,Delta_Coverage
1,0.0003,401,401,22.7841,22.7841
2,1.1560,614,213,34.8864,12.1023
3,2.0339,856,242,48.6364,13.7500
4,2.8035,912,56,51.8182,3.1818
5,3.4450,994,82,56.4773,4.6591
6,4.0342,1088,94,61.8182,5.3409
7,4.5727,1158,70,65.7955,3.9773
8,5.0597,1197,39,68.0114,2.2159
9,5.4794,1242,45,70.5682,2.5568
10,5.8780,1271,29,72.2159,1.6477
11,6.2870,1319,48,74.9432,2.7273
12,6.6456,1334,15,75.7955,0.8523
13,6.9414,1354,20,76.9318,1.1364
14,7.2225,1391,37,79.0341,2.1023
15,7.5726,1421,30,80.7386,1.7045
16,7.8349,1441,20,81.8750,1.1364
17,8.1568,1450,9,82.3864,0.5114
18,8.3840,1468,18,83.4091,1.0227
19,8.6804,1479,11,84.0341,0.6250
20,8.9680,1486,7,84.4318,0.3977
21,9.2144,1497,11,85.0568,0.6250
22,9.4541,1498,1,85.1136,0.0568
23,9.6605,1505,7,85.5114,0.3977
24,9.8581,1515,10,86.0795,0.5682
25,10.0398,1519,4,86.3068,0.2273
26,10.2607,1525,6,86.6477,0.3409
27,10.4793,1540,15,87.5000,0.8523
28,10.6906,1553,13,88.2386,0.7386
29,10.9676,1558,5,88.5227,0.2841
30,11.1615,1565,7,88.9205,0.3977
31,11.3006,1569,4,89.1477,0.2273
32,11.4754,1574,5,89.4318,0.2841
33,11.6490,1581,7,89.8295,0.3977
34,11.8623,1585,4,90.0568,0.2273
35,11.9888,1604,19,91.1364,1.0795
36,12.2018,1610,6,91.4773,0.3409
37,12.3988,1614,4,91.7045,0.2273
38,12.5564,1623,9,92.2159,0.5114
39,12.7111,1627,4,92.4432,0.2273
40,12.8292,1632,5,92.7273,0.2841
41,12.9330,1637,5,93.0114,0.2841
42,13.1043,1646,9,93.5227,0.5114
43,13.2432,1649,3,93.6932,0.1705
44,13.3351,1652,3,93.8636,0.1705
45,13.4976,1662,10,94.4318,0.5682
46,13.5813,1665,3,94.6023,0.1705
47,13.6624,1668,3,94.7727,0.1705
48,13.8024,1674,6,95.1136,0.3409
